ID,deptCode,deptName
d1a11111-1111-1111-1111-111111111111,IT,Information Technology
d1a11111-1111-1111-1111-111111111112,HR,Human Resources
d1a11111-1111-1111-1111-111111111113,FIN,Finance
d1a11111-1111-1111-1111-111111111114,OPS,Operations
d1a11111-1111-1111-1111-111111111115,MKT,Marketing
d1a11111-1111-1111-1111-111111111116,QA,Quality Assurance
d1a11111-1111-1111-1111-111111111117,DEV,Development
d1a11111-1111-1111-1111-111111111118,SEC,Security
d1a11111-1111-1111-1111-111111111119,SUP,Support
d1a11111-1111-1111-1111-111111111120,ADM,Administration